,TWII
2011/7/11,8665.85
2011/7/12,8491.01
2011/7/13,8488.06
2011/7/14,8481.35
2011/7/15,8574.91
2011/7/18,8538.57
2011/7/19,8524.57
2011/7/20,8706.17
2011/7/21,8717.14
2011/7/22,8765.32
2011/7/25,8683.51
2011/7/26,8794.24
2011/7/27,8817.49
2011/7/28,8767.2
2011/7/29,8644.18
2011/8/1,8701.38
2011/8/2,8584.72
2011/8/3,8456.86
2011/8/4,8317.27
2011/8/5,7853.13
2011/8/8,7552.8
2011/8/9,7493.12
2011/8/10,7736.32
2011/8/11,7719.09
2011/8/12,7637.02
2011/8/15,7819.39
2011/8/16,7798.59
2011/8/17,7741.76
2011/8/18,7614.97
2011/8/19,7342.96
2011/8/22,7312.59
2011/8/23,7550.23
2011/8/24,7502.93
2011/8/25,7410.87
2011/8/26,7445.1
2011/8/29,7578.01
2011/8/30,7646.19
2011/8/31,7741.36
2011/9/1,7757.76
2011/9/2,7757.06
2011/9/5,7551.57
2011/9/6,7367.19
2011/9/7,7529.01
